#,Company,Symbol,Weight,??????Price,Chg,% Chg
324,Costar Group Inc,CSGP,0.090603,80 ,1.24,-1.58%
325,Kinder Morgan Inc,KMI,0.090381,16 ,0.1,-0.62%
326,Cognizant Tech Solutions A,CTSH,0.090163,63 ,0.45,-0.71%
327,Newmont Corp,NEM,0.090076,41 ,0.36,-0.89%
328,Dupont De Nemours Inc,DD,0.089317,67 ,-2.14,(-3.11%)
329,Ppg Industries Inc,PPG,0.089138,131 ,-3.22,(-2.40%)
330,Fastenal Co,FAST,0.088909,55 ,-0.39,(-0.72%)
331,Resmed Inc,RMD,0.087158,197 ,-13,(-6.21%)
332,Vici Properties Inc,VICI,0.086907,32 ,1.08,-3.54%
333,Devon Energy Corp,DVN,0.086797,46 ,-0.91,(-1.95%)
334,Illumina Inc,ILMN,0.086667,196 ,1.82,-0.93%
335,Kraft Heinz Co,KHC,0.085098,38 ,0.41,-1.07%
336,Kroger Co,KR,0.084822,46 ,-0.46,(-1.00%)
337,Prudential Financial Inc,PRU,0.084614,80 ,-1.33,(-1.64%)
338,Bank of New York Mellon Corp,BK,0.08447,40 ,-1.09,(-2.68%)
339,Public Service Enterprise Gp,PEG,0.084063,60 ,0.25,-0.42%
340,Cummins Inc,CMI,0.083801,205 ,-4.31,(-2.06%)
341,Ww Grainger Inc,GWW,0.083606,601 ,-53.5,(-8.18%)
342,Allstate Corp,ALL,0.08311,108 ,-2.66,(-2.40%)
343,Mettler Toledo International,MTD,0.082913,1324 ,9.43,-0.72%
344,Keysight Technologies In,KEYS,0.082418,152 ,-10.2,(-6.31%)
345,Republic Services Inc,RSG,0.082333,143 ,1.02,-0.71%
346,Dollar Tree Inc,DLTR,0.081674,135 ,-3.95,(-2.86%)
347,Digital Realty Trust Inc,DLR,0.081608,103 ,2.85,-2.83%
348,Old Dominion Freight Line,ODFL,0.081495,310 ,-7.14,(-2.25%)
349,Ansys Inc,ANSS,0.081351,292 ,-37.3,(-11.33%)
350,Ge Healthcare Technology,GEHC,0.080171,80 ,1.68,-2.16%
351,Baker Hughes Co,BKR,0.07886,28 ,-0.08,(-0.29%)
352,American Water Works Co Inc,AWK,0.078398,142 ,-0.98,(-0.68%)
353,Discover Financial Services,DFS,0.078262,106 ,2.24,-2.17%
354,Lennar Corp A,LEN,0.077573,111 ,3.32,-3.08%
355,Constellation Energy,CEG,0.07752,85 ,0.84,-1.00%
356,Wec Energy Group Inc,WEC,0.077269,87 ,0.76,-0.88%
357,Gartner Inc,IT,0.076483,285 ,-57.9,(-16.91%)
358,Halliburton Co,HAL,0.076464,29 ,-0.89,(-2.99%)
359,Amerisourcebergen Corp,ABC,0.076155,133 ,-32.7,(-19.69%)
360,P G & E Corp,PCG,0.075933,17 ,0.21,-1.26%
361,Hp Inc,HPQ,0.075842,29 ,-1.7,(-5.50%)
362,Zimmer Biomet Holdings Inc,ZBH,0.07515,129 ,2.7,-2.14%
363,Arch Capital Group Ltd,ACGL,0.074595,70 ,-1.18,(-1.66%)
364,Keurig Dr Pepper Inc,KDP,0.074341,31 ,0.13,-0.42%
365,Global Payments Inc,GPN,0.073992,94 ,-5.53,(-5.58%)
366,Vulcan Materials Co,VMC,0.073808,195 ,-1.05,(-0.54%)
367,Quanta Services Inc,PWR,0.073448,177 ,-4.5,(-2.48%)
368,Equifax Inc,EFX,0.073095,198 ,-13.1,(-6.24%)
369,Oneok Inc,OKE,0.072632,57 ,-0.75,(-1.31%)
370,Edison International,EIX,0.071087,68 ,2.5,-3.80%
371,Warner Bros Discovery Inc,WBD,0.070843,11 ,0.01,-0.09%
372,West Pharmaceutical Services,WST,0.070637,311 ,-25.2,(-7.48%)
373,Martin Marietta Materials,MLM,0.070032,359 ,-38.9,(-9.77%)
374,Aptiv Plc,APTV,0.070018,90 ,-1.15,(-1.26%)
375,T Rowe Price Group Inc,TROW,0.06921,108 ,-0.47,(-0.44%)
376,State Street Corp,STT,0.068651,69 ,-0.33,(-0.48%)
